fiscal_year,month,state,volume,volume_contribution,value,value_contribution,units,notes
2025-26,January,Maharashtra,2271.25,10.46,267028.17,9.42,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Manipur,16.89,0.08,3378.44,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Meghalaya,15.75,0.07,2068.07,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Mizoram,13.04,0.06,1900.16,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Nagaland,12.33,0.06,1929.86,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Odisha,311.05,1.43,41468.18,1.46,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Puducherry,20.72,0.1,2922.9,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Punjab,223.53,1.03,40470.97,1.43,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Rajasthan,559.76,2.58,85532.43,3.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Sikkim,9.08,0.04,1232.64,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Tamil Nadu,859.4,3.96,132611.23,4.68,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Telangana,870.99,4.01,139218.72,4.91,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Tripura,16.67,0.08,2279.56,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Unclassified,9264.62,42.69,1075532.93,37.96,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Uttar Pradesh,1130.54,5.21,153987.1,5.43,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Uttarakhand,116.28,0.54,15316.91,0.54,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,West Bengal,493.61,2.27,73684.08,2.6,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Andaman and Nicobar Islands,4.64,0.02,743.64,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Andhra Pradesh,609.84,2.82,102547.67,3.67,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Arunachal Pradesh,21.96,0.1,3004.14,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Assam,226.36,1.05,24938.06,0.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Bihar,453.98,2.1,66791.87,2.39,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Chandigarh,28.15,0.13,3611.27,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Chhattisgarh,145.48,0.67,18789.15,0.67,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Dadra and Nagar Haveli and Daman and Diu,11.17,0.05,1226.22,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Delhi,516.9,2.39,66575.96,2.38,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Goa,40.24,0.19,5990.21,0.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Gujarat,555.31,2.57,86699.29,3.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Haryana,418.1,1.93,61294.14,2.19,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Himachal Pradesh,63.08,0.29,8446.08,0.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Jammu and Kashmir,86.74,0.4,11912.84,0.43,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Jharkhand,185.9,0.86,25154.32,0.9,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Karnataka,1166.38,5.39,162279.52,5.8,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Kerala,451.69,2.09,62079.79,2.22,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Ladakh,3.03,0.01,554.47,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Lakshadweep,0.69,0.0,73.3,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Madhya Pradesh,468.42,2.17,64115.4,2.29,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Maharashtra,2349.39,10.86,263704.89,9.43,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Manipur,17.44,0.08,3504.46,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Meghalaya,18.22,0.08,2509.94,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Mizoram,14.82,0.07,2281.39,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Nagaland,13.85,0.06,2243.67,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Odisha,304.59,1.41,39185.24,1.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Puducherry,20.29,0.09,2793.2,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Punjab,226.99,1.05,40564.96,1.45,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Rajasthan,557.06,2.57,85129.75,3.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Sikkim,9.23,0.04,1263.74,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Tamil Nadu,862.86,3.99,131083.27,4.69,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Telangana,887.11,4.1,141323.58,5.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Tripura,16.38,0.08,2229.75,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Unclassified,9132.68,42.21,1060367.95,37.91,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Uttar Pradesh,1147.64,5.3,155131.4,5.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,Uttarakhand,119.35,0.55,15420.17,0.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,December,West Bengal,478.71,2.21,71148.03,2.54,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Andaman and Nicobar Islands,4.22,0.02,662.1,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Andhra Pradesh,563.45,2.75,93846.52,3.57,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Arunachal Pradesh,21.79,0.11,2852.69,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Assam,212.71,1.04,23038.37,0.88,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Bihar,456.53,2.23,66454.52,2.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Chandigarh,27.17,0.13,3431.5,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Chhattisgarh,136.64,0.67,17074.67,0.65,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Dadra and Nagar Haveli and Daman and Diu,10.44,0.05,1140.73,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Delhi,491.14,2.4,64440.35,2.45,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Goa,36.33,0.18,5222.28,0.2,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Gujarat,510.56,2.49,76129.09,2.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Haryana,402.11,1.96,58994.49,2.24,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Himachal Pradesh,58.58,0.29,7825.51,0.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Jammu and Kashmir,83.52,0.41,11668.35,0.44,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Jharkhand,178.47,0.87,23547.39,0.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Karnataka,1105.63,5.4,150262.03,5.71,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Kerala,416.28,2.03,57144.28,2.17,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Ladakh,3.3,0.02,607.85,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Lakshadweep,0.64,0.0,68.1,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Madhya Pradesh,444.92,2.17,59792.96,2.27,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Maharashtra,2152.82,10.52,250787.01,9.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Manipur,15.77,0.08,3133.61,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Meghalaya,16.85,0.08,2294.28,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Mizoram,13.33,0.07,2021.97,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Nagaland,12.99,0.06,2000.56,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Odisha,288.64,1.41,36149.1,1.37,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Puducherry,18.57,0.09,2562.42,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Punjab,221.74,1.08,39570.9,1.5,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Rajasthan,530.23,2.59,81243.65,3.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Sikkim,8.71,0.04,1125.59,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Tamil Nadu,813.85,3.98,123549.07,4.69,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Telangana,851.25,4.16,131369.55,4.99,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Tripura,15.36,0.08,2067.22,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Unclassified,8658.98,42.31,996341.73,37.86,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Uttar Pradesh,1118.9,5.47,152420.82,5.79,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,Uttarakhand,114.89,0.56,14826.57,0.56,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,November,West Bengal,449.67,2.2,65964.8,2.51,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Andaman and Nicobar Islands,4.11,0.02,658.62,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Andhra Pradesh,559.76,2.7,96804.61,3.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Arunachal Pradesh,21.57,0.1,2796.38,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Assam,205.38,0.99,22054.63,0.81,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Bihar,450.63,2.18,66192.56,2.43,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Chandigarh,27.9,0.13,3639.56,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Chhattisgarh,140.51,0.68,18674.41,0.68,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Dadra and Nagar Haveli and Daman and Diu,11.45,0.06,1285.07,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Delhi,509.59,2.46,67595.24,2.48,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Goa,35.89,0.17,5282.52,0.19,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Gujarat,534.08,2.58,85444.71,3.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Haryana,420.32,2.03,62164.88,2.28,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Himachal Pradesh,61.96,0.3,8658.35,0.32,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Jammu and Kashmir,87.23,0.42,12529.98,0.46,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Jharkhand,182.17,0.88,24168.3,0.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Karnataka,1086.64,5.25,150900.53,5.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Kerala,418.45,2.02,58242.07,2.14,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Ladakh,3.0,0.01,663.27,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Lakshadweep,0.6,0.0,64.14,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Madhya Pradesh,451.87,2.18,61257.18,2.25,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Maharashtra,2146.3,10.37,267656.87,9.81,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Manipur,16.17,0.08,3286.9,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Meghalaya,16.36,0.08,2185.06,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Mizoram,13.7,0.07,1971.75,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Nagaland,12.84,0.06,1907.98,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Odisha,283.56,1.37,36507.19,1.34,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Puducherry,19.35,0.09,2750.37,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Punjab,230.69,1.11,40156.23,1.47,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Rajasthan,549.28,2.65,84940.47,3.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Sikkim,7.59,0.04,1014.3,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Tamil Nadu,812.02,3.92,128292.11,4.7,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Telangana,836.27,4.04,130835.09,4.8,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Tripura,15.1,0.07,1955.12,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Unclassified,8824.81,42.63,1040677.73,38.15,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Uttar Pradesh,1136.16,5.49,153595.1,5.63,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,Uttarakhand,119.77,0.58,15792.93,0.58,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,October,West Bengal,447.84,2.16,65188.51,2.39,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Andaman and Nicobar Islands,3.67,0.02,561.59,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Andhra Pradesh,537.17,2.74,90881.68,3.65,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Arunachal Pradesh,21.02,0.11,2672.74,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Assam,198.7,1.01,21541.07,0.87,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Bihar,396.78,2.02,57313.62,2.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Chandigarh,26.78,0.14,3269.59,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Chhattisgarh,130.25,0.66,16200.81,0.65,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Dadra and Nagar Haveli and Daman and Diu,10.35,0.05,1114.65,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Delhi,491.29,2.5,61354.33,2.46,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Goa,32.28,0.16,4603.0,0.18,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Gujarat,515.11,2.62,75403.93,3.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Haryana,402.1,2.05,55079.83,2.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Himachal Pradesh,53.1,0.27,6899.72,0.28,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Jammu and Kashmir,78.0,0.4,10480.68,0.42,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Jharkhand,169.52,0.86,22201.63,0.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Karnataka,1060.37,5.4,143932.39,5.78,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Kerala,396.26,2.02,55742.0,2.24,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Ladakh,3.76,0.02,681.25,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Lakshadweep,0.55,0.0,57.82,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Madhya Pradesh,420.54,2.14,54092.94,2.17,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Maharashtra,1973.44,10.05,236052.07,9.48,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Manipur,14.71,0.07,2876.08,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Meghalaya,15.56,0.08,2043.82,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Mizoram,12.4,0.06,1801.33,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Nagaland,12.21,0.06,1786.09,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Odisha,269.19,1.37,34741.86,1.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Puducherry,18.13,0.09,2512.47,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Punjab,212.73,1.08,34593.51,1.39,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Rajasthan,519.12,2.64,73664.21,2.96,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Sikkim,8.51,0.04,1132.35,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Tamil Nadu,780.35,3.97,118940.73,4.78,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Telangana,795.5,4.05,123214.19,4.95,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Tripura,15.6,0.08,2140.32,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Unclassified,8448.02,43.03,958801.4,38.51,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Uttar Pradesh,1036.09,5.28,132034.73,5.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,Uttarakhand,108.04,0.55,13117.86,0.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,September,West Bengal,446.23,2.27,66198.25,2.66,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Andaman and Nicobar Islands,3.77,0.02,551.26,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Andhra Pradesh,551.48,2.76,92181.84,3.71,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Arunachal Pradesh,21.4,0.11,2707.2,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Assam,203.78,1.02,21464.88,0.86,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Bihar,399.25,2.0,55622.06,2.24,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Chandigarh,26.58,0.13,3188.55,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Chhattisgarh,134.57,0.67,16358.88,0.66,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Dadra and Nagar Haveli and Daman and Diu,10.82,0.05,1112.7,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Delhi,487.28,2.44,59774.16,2.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Goa,32.27,0.16,4537.72,0.18,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Gujarat,515.15,2.57,73518.28,2.96,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Haryana,401.3,2.01,53984.25,2.17,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Himachal Pradesh,54.88,0.27,6738.67,0.27,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Jammu and Kashmir,81.02,0.4,10254.43,0.41,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Jharkhand,171.24,0.86,21569.36,0.87,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Karnataka,1077.76,5.39,142488.77,5.73,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Kerala,399.48,2.0,56071.45,2.26,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,August,Ladakh,4.48,0.02,781.31,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
